word/phrase,rank,cat,newcat
good,20.674342,,
fit,16.62048852,product,installation
product,15.78741694,,
thanks,15.1158258,,
fits,13.79098516,product,installation
delivery,12.48721921,delivery,delivery
quality,12.0484872,product,quality
legit,11.91028462,product,quality
perfect,11.87798403,product,installation
fast,11.79251248,delivery,delivery
thank,11.34828453,,
item,11.07186477,,
seller,10.93646533,,service
great,10.45681965,,
nice,9.789390705,,
wiper,9.675551781,,
umbrella,9.517446948,,gifts
fast delivery,9.410520763,delivery,delivery
perfect fit,9.352690652,,installation
perfectly,8.744913484,,installation
