word/phrase,rank,cat,newcat
good,4.827168052,,
fits,3.500710046,product,installation
works,3.174390574,product,functional
received,2.670098132,delivery,delivery
item,2.283780979,,
received good,2.152397225,delivery,delivery
order,2.135144024,,
work,2.125381985,,functional
great,2.025924599,,
ok,2,,
genuine,1.973884899,product,quality
fits audi,1.875433361,product,installation
audi,1.875433361,,
audi model,1.875433361,,
model,1.875433361,,
good order,1.755952044,,
order works,1.755952044,product,functional
product,1.732227124,,
cheapest,1.55274441,price,price
cheapest deal,1.55274441,price,price
