word/phrase,rank,sub
good,46.3518694297382,Wiper blade
fast,28.545568639623056,Wiper blade
delivery,26.07013767790358,Wiper blade
fast delivery,24.67654632506874,Wiper blade
best,20.905776017500553,Wiper blade
seller,17.37859946720739,Wiper blade
quality,16.161797770582517,Wiper blade
product,16.08996245307274,Wiper blade
received,16.03011855130395,Wiper blade
condition,12.034947196689682,Wiper blade
item,11.778758113172472,Wiper blade
good condition,11.670493963920103,Wiper blade
good product,10.335932030591882,Wiper blade
good quality,10.032674842308879,Wiper blade
packaging,9.943651192342362,Wiper blade
goods,9.277124240768387,Wiper blade
received good,9.04979362941245,Wiper blade
fit,8.962263060930097,Wiper blade
nice,8.550704835160351,Wiper blade
great,8.370056220937913,Wiper blade
wiper,7.803600406846506,Wiper blade
tq,7.646038107906108,Wiper blade
free,7.639526011627161,Wiper blade
satisfied,7.3969370818871845,Wiper blade
gift,7.161484687951955,Wiper blade
thanks,7.089219406308494,Wiper blade
thank,7.070293686884722,Wiper blade
free gift,6.410649373665696,Wiper blade
delivery good,6.297942424938186,Wiper blade
service,6.288989637714012,Wiper blade
recommended,5.76338084802695,Wiper blade
good packaging,5.503075059151067,Wiper blade
items,5.46435449837395,Wiper blade
works,5.4441088780116536,Wiper blade
order,5.3332524971327135,Wiper blade
value,5.26481303188903,Wiper blade
product quality,5.139451277495411,Wiper blade
tq seller,5.117984186305085,Wiper blade
ok,4.965255889779853,Wiper blade
perfectly,4.7267493676229995,Wiper blade
excellent,4.716010566793543,Wiper blade
arrived,4.712517528725646,Wiper blade
money,4.607073701633793,Wiper blade
time,4.424086420141194,Wiper blade
buy,4.342746218592421,Wiper blade
value money,4.127729766190673,Wiper blade
steady,3.999032061264283,Wiper blade
easy,3.9950277129046667,Wiper blade
stuff,3.8721502117012125,Wiper blade
good value,3.8137611418459447,Wiper blade
fits,3.6590138012315983,Wiper blade
good fast,3.5994057899000436,Wiper blade
rear,3.536476901602545,Wiper blade
quality good,3.5257855891606837,Wiper blade
price,3.4940816240954624,Wiper blade
receive,3.424744809887707,Wiper blade
goods received,3.3438443591558764,Wiper blade
product good,3.242968753369534,Wiper blade
original,3.2420346681357763,Wiper blade
item received,3.214138483744395,Wiper blade
install,3.145310772638468,Wiper blade
genuine,3.126468996890143,Wiper blade
fine,2.981019805908577,Wiper blade
recommended seller,2.979066818856019,Wiper blade
small,2.9674206456786694,Wiper blade
installed,2.958207102309272,Wiper blade
good item,2.9410758365621197,Wiper blade
safely,2.868461574494976,Wiper blade
packaging good,2.8572532304653606,Wiper blade
worth,2.7956202152032392,Wiper blade
trusted,2.772150945648822,Wiper blade
box,2.7563103016671837,Wiper blade
super,2.689009332100505,Wiper blade
thank seller,2.6266091298766434,Wiper blade
rear wiper,2.580205025381126,Wiper blade
nicely,2.559570234626235,Wiper blade
bosch,2.5334137434772916,Wiper blade
trusted seller,2.519866182112174,Wiper blade
excellent service,2.5029065419362513,Wiper blade
shipping,2.4856475003547307,Wiper blade
new,2.478304565384666,Wiper blade
products,2.4414242569360876,Wiper blade
advertised,2.4394021663792467,Wiper blade
delivery fast,2.367573922621249,Wiper blade
like,2.3412243898550273,Wiper blade
fitted,2.3090258757244024,Wiper blade
service seller,2.3004830549006248,Wiper blade
swift,2.2780161184870087,Wiper blade
seller good,2.2653883213917827,Wiper blade
brg,2.231869240403022,Wiper blade
day,2.231191802693617,Wiper blade
myvi,2.2036736113477913,Wiper blade
bad,2.184691620041372,Wiper blade
super fast,2.1516571909503766,Wiper blade
thanks free,2.150562622837697,Wiper blade
delivered,2.149989681374014,Wiper blade
packing,2.1327217773102034,Wiper blade
windshield,2.1324665662205176,Wiper blade
job,2.1265034572875345,Wiper blade
location small,2.119406399816723,Wiper blade
location,2.119406399816723,Wiper blade
great location,2.119406399816723,Wiper blade
days,2.1174498482783233,Wiper blade
quickly,2.0515866055200185,Wiper blade
cleaner,2.0476945439515863,Wiper blade
thank free,2.0359189158754774,Wiper blade
car,2.034555327596,Wiper blade
easy install,2.0334364468258292,Wiper blade
good seller,2.011645245884377,Wiper blade
lovelovelovelovelovelovelovelovelovelove,2.0,Wiper blade
packed,1.9973150183870836,Wiper blade
try,1.9648796772121964,Wiper blade
small rooms,1.952971343318929,Wiper blade
rooms,1.952971343318929,Wiper blade
bit,1.9521503255826997,Wiper blade
perfect,1.9301621128579831,Wiper blade
wrapped,1.9283279121961496,Wiper blade
fast shipping,1.9227416691956134,Wiper blade
good service,1.9099764770071879,Wiper blade
repeat,1.8739934354281058,Wiper blade
quality fast,1.8738024797812467,Wiper blade
perfectly fit,1.8659708787703513,Wiper blade
seller fast,1.862397209836455,Wiper blade
quick,1.8542929241596804,Wiper blade
highly recommended,1.8383487247624386,Wiper blade
highly,1.8383487247624386,Wiper blade
wrong,1.816889346987973,Wiper blade
package,1.8168814648650797,Wiper blade
ordered,1.8153944745140582,Wiper blade
fits perfectly,1.7915445854869128,Wiper blade
size,1.7880800716744387,Wiper blade
goods good,1.776077875991483,Wiper blade
boss,1.7623605722129165,Wiper blade
good job,1.7535217616589123,Wiper blade
far,1.747421693962043,Wiper blade
got,1.7317735194290798,Wiper blade
alza,1.7216648483482868,Wiper blade
happy,1.7123525851439256,Wiper blade
hope,1.6899953785767228,Wiper blade
rubber,1.6655777041912578,Wiper blade
satria,1.6580488346808857,Wiper blade
neo,1.6580488346808857,Wiper blade
satria neo,1.6580488346808857,Wiper blade
love,1.646052451391234,Wiper blade
received item,1.6424702738897214,Wiper blade
order received,1.6342600031615566,Wiper blade
bubble,1.6291198653419792,Wiper blade
fix,1.6268031924002546,Wiper blade
thumbs,1.6256289352515063,Wiper blade
wrap,1.6222121840934478,Wiper blade
purchase,1.6183764103055567,Wiper blade
delivery excellent,1.5938141740607348,Wiper blade
ngam,1.5871533235349915,Wiper blade
wrapping,1.5792215700479253,Wiper blade
far good,1.5694274968916462,Wiper blade
best seller,1.569008240286076,Wiper blade
good price,1.5634053967843302,Wiper blade
repeat order,1.5558940558700904,Wiper blade
dah,1.554102479632117,Wiper blade
product fast,1.5483824432607078,Wiper blade
windshield cleaner,1.5323037801976707,Wiper blade
genuine product,1.5274727492623497,Wiper blade
oder,1.5243612835027867,Wiper blade
wipers,1.5093933034196252,Wiper blade
tqvm,1.4940705515217483,Wiper blade
lg,1.4932170866989996,Wiper blade
receive good,1.4898763973064244,Wiper blade
cheap,1.4895161105252976,Wiper blade
okay,1.4705720200177432,Wiper blade
item arrived,1.4647375935747677,Wiper blade
fast good,1.4502260856826452,Wiper blade
good good,1.4371526864090716,Wiper blade
slow,1.4118951620895606,Wiper blade
nice packaging,1.403886223771495,Wiper blade
thumb,1.3984836858387721,Wiper blade
sell,1.395596742599865,Wiper blade
work,1.388129296238687,Wiper blade
bought,1.3852521921962613,Wiper blade
delivery recommended,1.3719021810116392,Wiper blade
working,1.3702073836775823,Wiper blade
respond,1.361101874769369,Wiper blade
works great,1.3564007338062356,Wiper blade
services,1.3380432887684526,Wiper blade
safe,1.3349206944093577,Wiper blade
friendly,1.315207276744073,Wiper blade
satisfying,1.3093526027881195,Wiper blade
described,1.3073028910178932,Wiper blade
customer,1.307053810026261,Wiper blade
quality product,1.306651699398166,Wiper blade
fast received,1.300842856884533,Wiper blade
today,1.2974083467131865,Wiper blade
money good,1.2968427836772247,Wiper blade
havent,1.2937711303128547,Wiper blade
sellers,1.28616516546582,Wiper blade
buy seller,1.281695971455458,Wiper blade
blade,1.272353835484394,Wiper blade
use,1.2723192891224904,Wiper blade
received product,1.2700769332517765,Wiper blade
delivery thank,1.268572234657874,Wiper blade
satisfied delivery,1.2650644136048075,Wiper blade
good stuff,1.2520892468996385,Wiper blade
jt,1.2494407213171417,Wiper blade
perfect fit,1.2423646120527025,Wiper blade
condition fast,1.236811652563457,Wiper blade
really,1.2274617910365482,Wiper blade
fit perfectly,1.2199114779744404,Wiper blade
thanks seller,1.2199025106980244,Wiper blade
cun,1.2154111148025875,Wiper blade
suzuki swift,1.2109861082154358,Wiper blade
suzuki,1.2109861082154358,Wiper blade
fast respond,1.205419659310717,Wiper blade
satisfactory,1.1920702829538472,Wiper blade
correct,1.1802676319302348,Wiper blade
item good,1.1763488922767957,Wiper blade
bossku,1.1692439660975833,Wiper blade
luck,1.1594223276182811,Wiper blade
good luck,1.1594223276182811,Wiper blade
buying,1.157348848350847,Wiper blade
broken,1.1558127364722428,Wiper blade
great packaging,1.1528434376186838,Wiper blade
excellent product,1.1338704310772445,Wiper blade
fast service,1.1216426528883945,Wiper blade
tried,1.1204941321529012,Wiper blade
windscreen,1.1175538019630824,Wiper blade
parcel,1.1158232802830705,Wiper blade
reach,1.1156848248156013,Wiper blade
ni,1.1143336788093081,Wiper blade
yesterday,1.1142714133314846,Wiper blade
receive item,1.1094155193168476,Wiper blade
items received,1.1041795077464038,Wiper blade
genuine good,1.0916994747768654,Wiper blade
good new,1.0916994747768654,Wiper blade
installed far,1.0906647575466553,Wiper blade
arrived good,1.0650895977985673,Wiper blade
long,1.0615487475327863,Wiper blade
delivery order,1.0573550091331014,Wiper blade
wiper good,1.0571786300510748,Wiper blade
safely arrived,1.0508657819799319,Wiper blade
suitable,1.0493430615120007,Wiper blade
fit satria,1.0465843153131842,Wiper blade
bubble wrap,1.0425725696599424,Wiper blade
conditions,1.039495423605478,Wiper blade
comes,1.03597889229622,Wiper blade
quality goods,1.0319960649996194,Wiper blade
plenty,1.0307854703243795,Wiper blade
hope sell,1.0307854703243795,Wiper blade
sell plenty,1.0307854703243795,Wiper blade
brand,1.0268575234874993,Wiper blade
best best,1.0090311079370586,Wiper blade
delivery received,1.007307516623301,Wiper blade
condition tq,1.0018960620583428,Wiper blade
thorbaikkkk,1.0,Wiper blade
terbaikk,1.0,Wiper blade
terbaikkkkkkkk,1.0,Wiper blade
baguihhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,1.0,Wiper blade
hurry,1.0,Wiper blade
terbaikkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,1.0,Wiper blade
usable,1.0,Wiper blade
end,1.0,Wiper blade
sy,0.9957616141922793,Wiper blade
dh,0.9925058980304635,Wiper blade
damaged,0.9916246361832155,Wiper blade
beautiful,0.989626757450642,Wiper blade
mmg,0.9874591722079574,Wiper blade
packaging fast,0.9817249226913853,Wiper blade
installation,0.9746631217541768,Wiper blade
plastic,0.9738417188187148,Wiper blade
good items,0.9675744449862701,Wiper blade
gets,0.9637228045660521,Wiper blade
arm,0.957644569551087,Wiper blade
replace,0.9569478547612834,Wiper blade
delivery best,0.9534600507881057,Wiper blade
expected,0.9437399602263934,Wiper blade
better,0.9296535280916132,Wiper blade
plus,0.9242487448050389,Wiper blade
star,0.9234732923006792,Wiper blade
parts,0.9100326071951197,Wiper blade
courier,0.9099274195701925,Wiper blade
arrive,0.9096935536087026,Wiper blade
perfectly tq,0.9079099341111598,Wiper blade
post,0.9028109369276436,Wiper blade
times,0.9021078463797818,Wiper blade
came,0.8999177963476142,Wiper blade
responsive,0.8992029513412862,Wiper blade
