word/phrase,rank,sub
usefull,2.0,Wiper blade Advantage
quality,1.6511521279906018,Wiper blade Advantage
good,1.4292306137647672,Wiper blade Advantage
thanks,1.2720457936936818,Wiper blade Advantage
fast,1.2131223094702845,Wiper blade Advantage
wiper,1.1745099966396209,Wiper blade Advantage
legit,1.0,Wiper blade Advantage
great,0.9555233447518218,Wiper blade Advantage
delivery,0.917707378279844,Wiper blade Advantage
packaging,0.8598506684696997,Wiper blade Advantage
fast delivery,0.8293708559676249,Wiper blade Advantage
good quality,0.8118224241155365,Wiper blade Advantage
nice,0.7684996091383267,Wiper blade Advantage
thank,0.7444796851336141,Wiper blade Advantage
great quality,0.7057750260327353,Wiper blade Advantage
buy denso,0.6810332830793999,Wiper blade Advantage
buy,0.6810332830793999,Wiper blade Advantage
better,0.6810332830793999,Wiper blade Advantage
skips,0.6810332830793999,Wiper blade Advantage
better buy,0.6810332830793999,Wiper blade Advantage
skips better,0.6810332830793999,Wiper blade Advantage
wiper skips,0.6810332830793999,Wiper blade Advantage
denso,0.6810332830793999,Wiper blade Advantage
delivered,0.6703107485553607,Wiper blade Advantage
hardware,0.6030226891555271,Wiper blade Advantage
ace hardware,0.6030226891555271,Wiper blade Advantage
ace,0.6030226891555271,Wiper blade Advantage
canvass firstcheaper,0.6030226891555271,Wiper blade Advantage
charge canvass,0.6030226891555271,Wiper blade Advantage
charge,0.6030226891555271,Wiper blade Advantage
canvass,0.6030226891555271,Wiper blade Advantage
firstcheaper,0.6030226891555271,Wiper blade Advantage
firstcheaper ace,0.6030226891555271,Wiper blade Advantage
wish,0.6030226891555271,Wiper blade Advantage
wish charge,0.6030226891555271,Wiper blade Advantage
deal,0.5925680500607122,Wiper blade Advantage
quickly,0.5773502691896258,Wiper blade Advantage
ok,0.5773502691896258,Wiper blade Advantage
shipped,0.5773502691896258,Wiper blade Advantage
shipped quickly,0.5773502691896258,Wiper blade Advantage
approx,0.5773502691896258,Wiper blade Advantage
ok approx,0.5773502691896258,Wiper blade Advantage
early scheduled,0.5590405885668346,Wiper blade Advantage
early,0.5590405885668346,Wiper blade Advantage
good packaging,0.5590405885668346,Wiper blade Advantage
delivery delivered,0.5590405885668346,Wiper blade Advantage
delivered early,0.5590405885668346,Wiper blade Advantage
packaging quality,0.5590405885668346,Wiper blade Advantage
