word/phrase,rank,sub
lasting,1.3833371753952317,Wiper blade Advantage
good,1.0114018821948625,Wiper blade Advantage
working,0.7559289460184545,Wiper blade Advantage
recommended,0.7559289460184545,Wiper blade Advantage
item working,0.7559289460184545,Wiper blade Advantage
item,0.7559289460184545,Wiper blade Advantage
intended recommended,0.7559289460184545,Wiper blade Advantage
intended,0.7559289460184545,Wiper blade Advantage
working intended,0.7559289460184545,Wiper blade Advantage
good product,0.6320217767184382,Wiper blade Advantage
product,0.6320217767184382,Wiper blade Advantage
quiet buy,0.4618042361109319,Wiper blade Advantage
lasting quiet,0.4618042361109319,Wiper blade Advantage
buy,0.4618042361109319,Wiper blade Advantage
quiet,0.4618042361109319,Wiper blade Advantage
receive,0.3085562673239302,Wiper blade Advantage
receive good,0.3085562673239302,Wiper blade Advantage
good condition,0.3085562673239302,Wiper blade Advantage
condition,0.3085562673239302,Wiper blade Advantage
nicely,0.3085562673239302,Wiper blade Advantage
fix nicely,0.3085562673239302,Wiper blade Advantage
items,0.3085562673239302,Wiper blade Advantage
condition fix,0.3085562673239302,Wiper blade Advantage
fix,0.3085562673239302,Wiper blade Advantage
items receive,0.3085562673239302,Wiper blade Advantage
usual,0.24243773794940165,Wiper blade Advantage
usual good,0.24243773794940165,Wiper blade Advantage
wipers,0.24243773794940165,Wiper blade Advantage
wipers good,0.24243773794940165,Wiper blade Advantage
price,0.24243773794940165,Wiper blade Advantage
quality expected,0.24243773794940165,Wiper blade Advantage
quality,0.24243773794940165,Wiper blade Advantage
price original,0.24243773794940165,Wiper blade Advantage
original,0.24243773794940165,Wiper blade Advantage
bosch wipers,0.24243773794940165,Wiper blade Advantage
expected,0.24243773794940165,Wiper blade Advantage
expected bosch,0.24243773794940165,Wiper blade Advantage
good quality,0.24243773794940165,Wiper blade Advantage
good price,0.24243773794940165,Wiper blade Advantage
bosch,0.24243773794940165,Wiper blade Advantage
