word/phrase,rank,cat,newcat
good,45.37956092,,
quality,26.95686385,product,quality
product,25.32450061,,
good quality,22.24258418,product,quality
perfect,20.49243606,product,installation
nice,17.68549184,,
item,16.82376372,,
fit,15.17950055,product,installation
seller,14.13604376,delivery,service
fits,14.0380963,product,installation
legit,13.39714991,product,quality
great,13.14016136,,
delivery,13.00537185,delivery,delivery
wiper,11.81739374,,
thank,10.98502728,,
thanks,10.91541317,,
good product,10.63155335,,
excellent,10.57438341,product,quality
perfectly,9.92855891,product,installation
fast,9.274191567,delivery,delivery
