word/phrase,rank,sub
good,52.88711465970405,Wiper blade
fast,30.147442051907795,Wiper blade
delivery,27.711318255655385,Wiper blade
fast delivery,26.163359234142153,Wiper blade
quality,22.553738150475894,Wiper blade
product,22.42471300323769,Wiper blade
good product,18.773555324945395,Wiper blade
received,14.710464732692266,Wiper blade
seller,14.382624827982239,Wiper blade
best,13.973086765939366,Wiper blade
condition,13.088903985588308,Wiper blade
good condition,12.56750046693567,Wiper blade
product quality,12.382705600497518,Wiper blade
good quality,12.081637369520093,Wiper blade
item,11.963128501473486,Wiper blade
value,11.376377586536154,Wiper blade
value money,10.833513950339768,Wiper blade
money,10.833513950339768,Wiper blade
fit,10.415825544555645,Wiper blade
great,9.929052665248758,Wiper blade
good value,9.817170985980075,Wiper blade
nice,9.485030790926128,Wiper blade
received good,9.439281475005513,Wiper blade
wiper,9.092223804395758,Wiper blade
packaging,8.90006042648108,Wiper blade
service,8.679116680331077,Wiper blade
excellent,7.166256214443958,Wiper blade
quality good,7.120543024333599,Wiper blade
gift,6.6428307994201266,Wiper blade
free,6.175108175303204,Wiper blade
satisfied,5.955036236524601,Wiper blade
recommended,5.902766149188192,Wiper blade
items,5.822506040759694,Wiper blade
goods,5.783392838386039,Wiper blade
delivery good,5.757139578333218,Wiper blade
free gift,5.562869842641588,Wiper blade
tq,5.538228416947266,Wiper blade
perfectly,5.430585829749745,Wiper blade
works,5.2217703872089665,Wiper blade
good packaging,5.157443374159713,Wiper blade
item received,5.024847870313794,Wiper blade
rear,5.000203540649158,Wiper blade
thank,4.978753431242697,Wiper blade
quality fast,4.975087255495459,Wiper blade
described,4.934893388415613,Wiper blade
fine,4.905294471659329,Wiper blade
thanks,4.840596304090618,Wiper blade
easy,4.576486220384899,Wiper blade
time,4.550644784125449,Wiper blade
buy,4.492392817547117,Wiper blade
order,4.345567194032951,Wiper blade
excellent service,4.193789489564303,Wiper blade
original,3.9138338124234853,Wiper blade
ok,3.8823586013871014,Wiper blade
stuff,3.854295785526698,Wiper blade
service seller,3.8323985329603287,Wiper blade
price,3.7367589892423347,Wiper blade
good fast,3.680565384969718,Wiper blade
box,3.6318190349039754,Wiper blade
product fast,3.607786054501634,Wiper blade
install,3.492888608747477,Wiper blade
good service,3.408856074632292,Wiper blade
arrived,3.333146080846677,Wiper blade
rear wiper,3.239390098563127,Wiper blade
perfect,3.179873180658333,Wiper blade
fast good,3.168339666888209,Wiper blade
small,3.052044319669699,Wiper blade
easy install,3.019233021135595,Wiper blade
quality product,2.976173306836001,Wiper blade
money fast,2.896549163322454,Wiper blade
packed,2.8637842254496677,Wiper blade
worth,2.7655265578009405,Wiper blade
shipping,2.7320304120285335,Wiper blade
wrapped,2.725290198216369,Wiper blade
car,2.7168289382628887,Wiper blade
packing,2.7044884981908446,Wiper blade
delivery excellent,2.6623175769892615,Wiper blade
wipers,2.660311742119622,Wiper blade
like,2.590664076923288,Wiper blade
nicely,2.575679857543418,Wiper blade
really,2.5073927594983147,Wiper blade
beautiful,2.480954051102403,Wiper blade
recommended seller,2.466993745262986,Wiper blade
advertised,2.450936386159193,Wiper blade
fits,2.425858652225027,Wiper blade
love,2.408457940759692,Wiper blade
good stuff,2.4077496150412583,Wiper blade
myvi,2.4009209986025564,Wiper blade
receive,2.392971786682795,Wiper blade
use,2.3625575513658426,Wiper blade
fast shipping,2.3390315786983042,Wiper blade
good item,2.33562817568401,Wiper blade
products,2.3229722846347025,Wiper blade
perfect fit,2.3171364246735404,Wiper blade
installed,2.263402869715175,Wiper blade
wrong,2.242854415768633,Wiper blade
thank free,2.179977469733395,Wiper blade
good price,2.167049028011168,Wiper blade
quick,2.152897443074813,Wiper blade
yes,2.1460750504569868,Wiper blade
work,2.1330484375541396,Wiper blade
best seller,2.0892649225075135,Wiper blade
works great,2.085307615430394,Wiper blade
brg,2.0842733059931375,Wiper blade
day,2.056600165269097,Wiper blade
bought,2.027801030810039,Wiper blade
buy seller,2.005159715653199,Wiper blade
arm,2.00134006877267,Wiper blade
