word/phrase,rank,sub
good,581.0180678153106,Wiper blade Advantage
fast,269.7827977062633,Wiper blade Advantage
delivery,256.6640127634089,Wiper blade Advantage
fast delivery,242.79639115654328,Wiper blade Advantage
product,204.89349660099418,Wiper blade Advantage
best,173.56976275647605,Wiper blade Advantage
quality,172.37320124483503,Wiper blade Advantage
good product,163.2530475049671,Wiper blade Advantage
seller,139.94653099161403,Wiper blade Advantage
condition,128.687524168087,Wiper blade Advantage
good condition,124.74494434588924,Wiper blade Advantage
received,120.61422353531853,Wiper blade Advantage
good quality,110.83757400986092,Wiper blade Advantage
nice,98.05633668762142,Wiper blade Advantage
item,91.97061956991925,Wiper blade Advantage
value,91.90704490390682,Wiper blade Advantage
ok,85.49877733945667,Wiper blade Advantage
money,84.910094481772,Wiper blade Advantage
tq,84.56557686474356,Wiper blade Advantage
received good,82.63273879609615,Wiper blade Advantage
value money,79.5308621171492,Wiper blade Advantage
goods,73.62635944725665,Wiper blade Advantage
delivery good,72.4969331219317,Wiper blade Advantage
packaging,67.91056510491505,Wiper blade Advantage
service,62.74420888757689,Wiper blade Advantage
thanks,61.38616818045569,Wiper blade Advantage
great,61.37698437577201,Wiper blade Advantage
thank,61.084486206523586,Wiper blade Advantage
product quality,58.80481189348575,Wiper blade Advantage
satisfied,57.854085937017,Wiper blade Advantage
good value,57.82193058460935,Wiper blade Advantage
recommended,55.42506016756147,Wiper blade Advantage
stuff,54.49216453915729,Wiper blade Advantage
price,52.87691887286989,Wiper blade Advantage
buy,48.047582968552696,Wiper blade Advantage
cheap,47.52953763512793,Wiper blade Advantage
worth,45.491352122497155,Wiper blade Advantage
wiper,43.55278519306262,Wiper blade Advantage
order,43.410230993641164,Wiper blade Advantage
free,42.53219377742816,Wiper blade Advantage
excellent,40.53334480234819,Wiper blade Advantage
gift,38.279002953878674,Wiper blade Advantage
tq seller,37.60358632500997,Wiper blade Advantage
quality good,35.56165739460949,Wiper blade Advantage
time,35.392844351237905,Wiper blade Advantage
free gift,35.291465256023905,Wiper blade Advantage
items,34.989244189589876,Wiper blade Advantage
item received,34.49682093299295,Wiper blade Advantage
