word/phrase,rank,sub
good received,0.5773502691896257,Wiper blade Clear Advantage
good,0.5773502691896257,Wiper blade Clear Advantage
received,0.5773502691896257,Wiper blade Clear Advantage
diy fixed,0.4472135954999579,Wiper blade Clear Advantage
diy,0.4472135954999579,Wiper blade Clear Advantage
fixed,0.4472135954999579,Wiper blade Clear Advantage
easy,0.4472135954999579,Wiper blade Clear Advantage
easy diy,0.4472135954999579,Wiper blade Clear Advantage
metal,0.2917299829957891,Wiper blade Clear Advantage
blade,0.2917299829957891,Wiper blade Clear Advantage
wiper,0.2917299829957891,Wiper blade Clear Advantage
support,0.2917299829957891,Wiper blade Clear Advantage
frame,0.2917299829957891,Wiper blade Clear Advantage
realised rubber,0.14586499149789456,Wiper blade Clear Advantage
original work,0.14586499149789456,Wiper blade Clear Advantage
realised,0.14586499149789456,Wiper blade Clear Advantage
arm,0.14586499149789456,Wiper blade Clear Advantage
metal frame,0.14586499149789456,Wiper blade Clear Advantage
rubber,0.14586499149789456,Wiper blade Clear Advantage
rubber metal,0.14586499149789456,Wiper blade Clear Advantage
support frame,0.14586499149789456,Wiper blade Clear Advantage
wiper arm,0.14586499149789456,Wiper blade Clear Advantage
wiper blade,0.14586499149789456,Wiper blade Clear Advantage
work,0.14586499149789456,Wiper blade Clear Advantage
original,0.14586499149789456,Wiper blade Clear Advantage
frame support,0.14586499149789456,Wiper blade Clear Advantage
metal blade,0.14586499149789456,Wiper blade Clear Advantage
arm wiper,0.14586499149789456,Wiper blade Clear Advantage
frame different,0.14586499149789456,Wiper blade Clear Advantage
fine bring,0.14586499149789456,Wiper blade Clear Advantage
fine,0.14586499149789456,Wiper blade Clear Advantage
different original,0.14586499149789456,Wiper blade Clear Advantage
different,0.14586499149789456,Wiper blade Clear Advantage
bring wiper,0.14586499149789456,Wiper blade Clear Advantage
bring,0.14586499149789456,Wiper blade Clear Advantage
blade support,0.14586499149789456,Wiper blade Clear Advantage
blade bend,0.14586499149789456,Wiper blade Clear Advantage
bend metal,0.14586499149789456,Wiper blade Clear Advantage
bend,0.14586499149789456,Wiper blade Clear Advantage
work fine,0.14586499149789456,Wiper blade Clear Advantage
