word/phrase,rank,sub
condition,0.30151134457776363,Wiper blade Aerotwin
condition works,0.30151134457776363,Wiper blade Aerotwin
good,0.30151134457776363,Wiper blade Aerotwin
good condition,0.30151134457776363,Wiper blade Aerotwin
great,0.30151134457776363,Wiper blade Aerotwin
items,0.30151134457776363,Wiper blade Aerotwin
items received,0.30151134457776363,Wiper blade Aerotwin
received,0.30151134457776363,Wiper blade Aerotwin
received good,0.30151134457776363,Wiper blade Aerotwin
works,0.30151134457776363,Wiper blade Aerotwin
works great,0.30151134457776363,Wiper blade Aerotwin
